text;department;process;document;edition
Rename Field ''Partner Name'' to ''Customer'';;;;
"In Processing OrderAction Buttons required
 a. In processing order> Tab Stage & Requirement >Stage Name  List,
 b. Within Stage>Tab Requirements >Requirement list,
 c. In requirement> Tab documents>attachment list.Attachment List should also show button for attachment , Save As ";;;;
Any Field Value update on Processing Order Document should come in below History Log;;;;
Processing order: Parent to child all documents change or update history log TAB. For That Processing Order document bottom History Log can be used instead of separate Tab.;;;;
When a new processing Order generated, Buttons appearing Process, Not Applicable. Both are not required as per work flow on processing. These two are computed status from bottom. Now When I click to button ''Process'' all stages status goes to Under Process???. As per my discussion with Mr. Christian, Processing Order Status ''Under Process'' calculate from child documents.;;;;
On Processing Order, Cancel button all time Required unless the whole processing order status positive/successful/delivered.;;;;
Complete review of status calculation required. Like Processing order>Stage>Requirement>Attachment: there is one attachment and status is Not Applicable, Now the Requirement status should also be Not Applicable but currently its ''Under Process'' which is wrong.;;;;
'Source Document'' field is there. Hide this field. We need here ''Sale Order'' field which is clickable and goes to sale order.;;;;
On top there is one field ''Requirement Center'' without field value. Remove this. This field is already there in Extra information Tab.;;;;
Processing Order pick the wrong sign up date. For us Sign up date means date of creation of processing order which is same as sale order confirmation.;;;;
"On Processing Order Hide/Remove these Tabs
 a. Meeting
 b. Sale
 c. Call Ref
 d. Variants";;;;
Processing Order Number ''MO000039'' is editable when its status is ''New''. It should not be because its unique serial number. Once Processing Order Created, Its serial number should be read only. Pls fix;;;;
Processing Order> 2 Fields required >''Occupation for Program'' & ''Occupation No'' and value of these 2 fields should come from Sale Order line ''Occupation for Program'' & ''Occupation No'';;;;
Processing Order> Tab Stages & Requirement: Add item > Click >Not able to add a new stage. Same is in Stage For. There should be option to add stage and requirement in processing order as well.;;;;
Give Button to create dispatch receipt on processing order & Stage Document. Also give one Tab on Processing Order where all dispatch receipts related to that processing order should be there.;;;;
Collection & Review Officer- a. Have access on All Process flow but not dispatch related b. No deletion rights c. On Process Order following fields are coming from sale order. In edit mode these should be read only for this group. i. Customer (Partner Name) ii. Mobile iii. Sale Person iv. Payment option v. Sign Up date vi. Occupation for Program (New) vii. Occupation No (New);;;;
Dispatch Officer a. Access on All Processing work flow except Documentation officer actions  b. Ii & iii same as Collection Officer rights c. Can Prepare Dispatch Receipts & Send for Accounts Verification, After Accounts Verification further approval process can do;;;;
Dispatch & Collection Officer;;;;
Accounts Approval-Dispatch Receipts Group (Only this right);;;;
Manager with deletion rights without config menu;;;;
Manager full rights or processing module;;;;
Attachment document > in work flow once a document is Rejected by ''Documentation officer Review'' status change to rejected and button is appearing Re-Submission. When click to resubmission, again work flow of attachment form started. Rejected document version not there on attachment form. Previously there was one tab for rejected attached document.;;;;
Rename Field Name: ''Owner'' Rename to ''Collected By'' (Actually system pick the user name who is attaching document here.;;;;
Add fields>  a. Processing Order No. Filed value should come from parent document. b. Customer Name: Field value should come from parent document;;;;
Remove/Hide following fields a. All fields under heading ''Attached to'' b. Fields under Heading: ''Properties''  i. Identification Number ii. Serial Number iii. Expiry date iv. Criteria c. Description and Indexed content field;;;;
History: Creation & Modification > User name and date not required. We need here Log History at bottom same as in stage and requirement form bottom log history;;;;
Give option ''Attachment preview''. Every time we need to download.;;;;
Further Group Filters Require in Sub Menus:  Processing Order, Stage, Requirement,  a. Status b. Creation Month c. Deadline date d. Last modified month e. Product;;;;
When Sale Order Confirm, button appear ''View Delivery/Coordination Order'' a. Rename this to ''View Processing Order'' b. And When Click this button user should go directly to Processing Order;;;;
A User who is confirming Sale Order system pics his/her name as ''Responsible'' on Processing Order. Change it like :::: Processing > Configuration > Requirement Center > : Give Field ''Responsible'' as per below, so whenever Processing order generated automatic system pick Responsible person name as define in configuration. If  empty in config field will stay empty. Don't make this field as mandatory. a. Requirement Center > Responsible b. Stage Form > Responsible c. Requirement > Responsible;;;;
Group Filter Require in Sub Menu ''Documents''  a. Product b. Status c. Stage d. Requirement e. Deadline date f. Customer;;;;
Processing order>Stage>Requirement>Documents Tab>Click on Add document : Search filter > this processing (to see only all attachments of this particular processing order'');;;;
In Processing Order Product Field is there. Product field should also on Stage, Requirement and Attachment form. The ''Product'' field value should come from Parent document.;;;;
Columns list View a. Processing Order i. Creation date ii. Customer Name iii. Mobile iv. Product v. Last modified date vi. Status vii. No Action Buttons b. Stage i. Processing Order No ii. Stage Name iii. Product iv. Customer v. Mobile vi. Last Modified date vii. Status viii. Action Buttons c. Requirement i. Processing Order No ii. Req. Name iii. Stage Name iv. Product v. Customer Name vi. Mobile vii. Last Modified Date viii. Status ix. Action Buttons d. Documents i. Processing Order No ii. Attachment Name iii. Stage iv. Product v. Customer name vi. Mobile vii. Last Modified date viii. Status ix. Action Buttons e. Dispatch Receipt;;;;
About deadline, On Processing Order, Stage, Requirement and Attachment form ''Reminder'' function required. A drop down multi selection field about reminder value selection and accordingly the reminder will pop up notification to user or send email to client. (For Ref this function is available on Meeting form) a. Field ''Reminder'' and drop down multi value selection  i. notification value selection manual  ii. email-value selection manual b. Auto reminder email to customer 72 & 48 & 24 hours before the deadline.;;;;
Processing> Configuration > Requirement Center > Columns list view a. Name b. Product c. Last modified date;;;;
Processing order line color meaning a. Blue> New b. Red> Any satge, Requirement or attachment Cross deadline date;;;;
Pending Document Auto Email reminder set.;;;;
Hide/Remove ''Variants'' Tab;;;;
Hide/Remove Field ''With Results'';;;;
Remove Field ''Note'';;;;
Hide/Remove BOM Field;;;;
When Stage & Requirement Status is ''New'' Customer Name & Sale Order fields values are not appearing. When in process than appearing. These fields' values should not link with status.;;;;
On Stage form, Cancel button all time Required unless the Requirement status positive/Dispatched/Done;;;;
Requirement Form, when ''Dispatched'' button appear at the same time another Button Require ''Done''. Click to this button status ''Done'' same as equal as dispatched.;;;;
Hide/Remove ''Variants'' Tab ;;;;
Hide/Remove Fields ''With Results'' & With Documents (Document Attachment option only in Requirement form);;;;
Remove field ''Note'';;;;
Tab: Requirements: Add Item > Not Able to Add Requirement;;;;
Hide/Remove BOM field;;;;
When Stage & Requirement Status is ''New'' Customer Name & Sale Order field's values are not appearing. When in process than appearing. These fields' values should not link with status.;;;;
On Stage form, Cancel button all time Required unless the stage status positive/Dispatched/Done;;;;
When Stage Form, when ''Dispatched'' button appear at the same time another Button Require ''Done''. Click to this button status same as equal as dispatched.;;;;
The product unit price on SOL does not keep in Invoice Line;;;;
On the convertion of the an Opportunity to Quotation, an error message appears.;;;;
On the creation of a quotation, an error message appears.;;;;
Proceed for the HR and the Processing on the Production Platform.;;;;
2. The configuration of the products and the partners and other configuration of the accounting shall be reviewed on the production platform.;;;;
1. Sales Order, Create Invoice,  Given that the VAT is coming and it is not sure that the VAT will be due on the Payment Reception not on the Invoice setting, Premiers prefers to invoice only to the Customer the due amount (instead of invoicing the full amount and requiring the payment of the due amount) The System shall have the following behavior on the invoice creation, based on the  What do you want to invoice/refund ? following values [Percentage or Fixed Price],  - the field Advanced Product shall be called Product and its value shall be the first sales order line product,  - the field Advanced Amount shall be renamed Amount. - the created invoice unique line shall have its: - - product = the sales order first line product, - - description = the sales order first line product || (Fixed Amount / Percentage || the value) - - unit price = the computed due amount - - quantity = 1;;;;
3. Add a control on the sales orders and the partial invoices. The System shall put the Sales Order in Invoice Exception Status if the total invoices amount of the invoices exceeds the total amount of the Sales Order.;;;;
"1: Open Processing Order > Tab: Stages / Requirements > Not able to add stage ""Add an item"" previously button was there but not able to add after current development Button removes  2: Point No 1 for Stage Form "" Add Requirement"" and Requirement Form ""Add a document means attachment"" Comment: is this a precision on 1. or another request.  3: Processing Order : Column List view - Processing Order No - Creation Date - Customer Name - Mobile - Last date modified - Status  4: Processing order > Stage > requirement > Attachment form ""Tab Meetings details"" what is this? Pls Rename this to ""Reminders"" otherwise user will confuse. Why deadline is mandatory field? Pls remove or hide.  5: Not Able to create dispatch receipt from Stage Form . On Stage form click to dispatch receipt selected the attachments and click create dispatch but not?  6: Create Dispatch button not required on Requirement form only Processing Order and Stage Form  7: Attachment form status not working . Need full review. I change status of one document automatic the other document status change. Another thing when document status is ""Collection Pending"" there is no button for action http://192.168.10.202/web#id=1014&view_type=form&model=mrp.production&action=851&active_id=1273 ";;;;
"Processing Computation http://192.168.10.202/web#id=1014&amp;view_type=form&amp;model=mrp.production&amp;menu_id=652&amp;action=851 - 7 stages - 1 stage done, - The processing order is Dispatched / Completed which is not correct.";;;;
"1: Open Processing Order > Tab: Stages / Requirements > Not able to add stage ""Add an item"" previously button was there but not able to add after current development Button removes  2: Point No 1 for Stage Form "" Add Requirement"" and Requirement Form ""Add a document means attachment"" Comment: is this a precision on 1. or another request.  3: Processing Order : Column List view - Processing Order No - Creation Date - Customer Name - Mobile - Last date modified - Status  4: Processing order > Stage > requirement > Attachment form ""Tab Meetings details"" what is this? Pls Rename this to ""Reminders"" otherwise user will confuse. Why deadline is mandatory field? Pls remove or hide.  5: Not Able to create dispatch receipt from Stage Form . On Stage form click to dispatch receipt selected the attachments and click create dispatch but not?  6: Create Dispatch button not required on Requirement form only Processing Order and Stage Form  7: Attachment form status not working . Need full review. I change status of one document automatic the other document status change. Another thing when document status is ""Collection Pending"" there is no button for action http://192.168.10.202/web#id=1014&view_type=form&model=mrp.production&action=851&active_id=1273 ";;;;
Anomaly on Sales Order Cancellation: 1: I want to cancel Sale order but system is saying first cancel the relevant delivery order? what is this 2: When I Cancel Processing order following anomaly If the Delivery Order in not required, it shall not be created.;;;;
On the opening of the System or access to the pages an error message appears. To avoid the errors, CRA commented some codes of the .../addons/account/account.py file. The one that check if the change of the type or the code of the account_account object. Check the reason and set the fix on the db to remove the CRA comments.;;;;
"-------- Forwarded Message -------- Subject: Anomaly Date: Wed, 1 Nov 2017 11:48:18 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, chmsohail@gmail.com Hi, When enever I am creating New User and Savig, it saved as ""False"" Partner then again edit and rename than it come correct. Pls fix Thanks &amp; Regards! HM Fiaz Business Analyst Global Migration Services ";;;;
http://192.168.10.202/web?#id=1012&view_type=form&model=mrp.production&menu_id=652&action=851 The Processing Order status is Dispatched / Completed, although the Status of the Stages are all New except few of them.;;;;
Extend the size of the VM of Premiers ERP.;;;;
"http request: http://sms.rmlconnect.net/bulksms/bulksms?username=XXXXXX&amp;password=XXXXXX&amp;message=XXXXXX&amp;type=0&amp;dlr=0&amp;source=XXXX&amp;destination=9715******** Username: GMSUAE Password: asdf1234 Support:  uaesupport@routemobile.com or +971561889702.";;;;
1. Premiers shall send to Miro how 95% of the cheque registration shall work and Miro shall implement it in the System. 2. Premiers shall discuss with Mr. Fiaz on the purpose of the existing PDC Management Document keeping in mind that 1. can do the management automatically 3. Miro shall send to Premiers the excel file template for - the assets and their depreciation, - the recurring entries. 4. Premiers shall tell Miro the bank statement imported file format. 5. Premiers shall send to Miro the Ledger Report Format that shall be build in excel from the System;;;;
" In Processing Order > Configuration > Requirement Center   Open Any Requirement Center > Tab: Work Center Operations > Stage Form & Requirement Form we need here field ""Responsible"" (where we can select the user name who is particularly responsible for that stage and requirement.  The Same Field should also visible and editable in Processing Order , Stage & requirement Form   (http://65.111.162.181/?db=Miro_ERP#id=14597&view_type=form&model=project.requirement&menu_id=605&action=728) First Processing Comments Point no 11> 1.      A User who is confirming Sale Order system pics his/her name as ""Responsible"" on Processing Order. Change it like :::: Processing > Configuration > Requirement Center > : Give Field ""Responsible"" as per below, so whenever Processing order generated automatic system pick Responsible person name as define in configuration. If  empty in config field will stay empty. Don't make this field as mandatory. a.      Requirement Center > Responsible b.      Stage Form > Responsible c.      Requirement > Responsible  ";;;;
"In processing Order: add an item stage , requirement & document should be there with editable fields. Currently add an item option is there but when processing order status change to ""under process"" add an item option finish.  This is very important pls process, I dnt want to restrict user. There should be flexibility 100% to create and edit stage and requirement or document  Now this processing order is under process and user cannot add and edit  stage , within stage requirement and within requirement document. http://192.168.10.20/web#id=1367&view_type=form&model=mrp.production&menu_id=652&action=851";;;;
Whenever Sale Person (See own leads) user group wants to change the Lead Stage below is coming.  ;;;;
Postponed. On the opening of one document, this anomaly appears, Do not proceed as we are not able to replay the anomaly;;;;
Accounting / Supplier / Supplier Payment, Accounting / Customer / Customer Payment, There shall be the total of the  - Original Amount - Open Balance  At the last line of the list as for the Amount.;;;;
On the creation of the attached payment voucher details, the user changed the account of the voucher line and was not able to save the voucher.;;;;
Clean all the processing order when the Processing Department will operate the day after.;;;;
Done and Dispatched statuses harmonisation.;;;;
ID: GMSUAE Password: nrG2mfqN;;;;
"-------- Forwarded Message -------- Subject: Anomly ERP Speed Date: Wed, 13 Dec 2017 17:46:11 +0400 From: fiaz@globalmigration.co.uk To: Tefy , c.rakotondratsima@miroke.com, support@miroke.com ERP Speed issue still not resolved . Too much time taking when confirming Quotation. Rest speed is fine the issue is only on quotation confirmation. Very Serious issue. Pls look in to it. Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit ";;;;
 While creating new user and saving below error ;;;;
"-------- Forwarded Message -------- Subject: RE: Expenses issues Date: Sun, 4 Feb 2018 14:38:01 +0000 From: Zaid Wattar To: Christian Rakotondratsima , Leena Kn CC: Fahad Ahmed Hi Christian, Yes please we need to be able to cancel AND/OR delete the confirmed (Locked) SO. Best Regards, Zaid Wattar Wave Media Solutions From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com] Sent: Sunday, February 4, 2018 5:50 PM To: Zaid Wattar ; Leena Kn Cc: Fahad Ahmed Subject: Re: Expenses issues Hello Zaid, Shall we change the configuration so you can proceed but shall control the access, Or you will wait for the review, Best regards, Christian On 2018-02-04 17:24, Zaid Wattar wrote: Hi Christian, We are still waiting for your confirmation on below please. can I use the SO canceling now? Best Regards, Zaid Wattar Wave Media Solutions From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com] Sent: Wednesday, January 31, 2018 7:30 PM To: Zaid Wattar ; Leena Kn Subject: Re: Expenses issues Hello Zaid, After our review, our team says that to make the Cancel button visible on a Confirmed Sales Order, the Sales / Configuration / Setting / Quotation &amp; Sales / Sale Order Modification / Allow to edit sales order from the 'Sales Order' shall be TRUE. We are reviewing the full process and will summarize it to you by tomorrow, Best regards, Christian --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: Urgent Processing Anomly Date: Sun, 4 Feb 2018 17:31:36 +0400 From: fiaz@globalmigration.co.uk To: c.rakotondratsima@miroke.com, support@miroke.com Hi, In Processing &gt; Configuration &gt; Requirement Center &gt; Open Requirement Center &gt; Tab: Work Center Operation &gt; Click on Add an item &gt; Stage Form &gt; Why there is an option to attach document ??? Pls hide check box With documents here The same above should be HIDE from Processing Order &gt; Tab:Stage &gt; Stage Form Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
-------- Forwarded Message -------- Subject: RE: FW: ERP-New Server Date: Sun, 4 Feb 2018 20:20:10 +0400 From: Rajesh To: fiaz@globalmigration.co.uk, 'Christian Rakotondratsima' , 'Sam Abbas' CC: ayesha@globalmigration.co.uk, 'Jithin Panekkat' , 'Sohail Saleem' Hi, Use below location: \\172.16.1.30\erp backup UI: Admin Pas : Ultimate123 From: fiaz@globalmigration.co.uk [mailto:fiaz@globalmigration.co.uk] --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ;;;;
"-------- Forwarded Message -------- Subject: Premiers Accounting Comments Date: Sun, 4 Feb 2018 13:37:46 +0400 From: fiaz@globalmigration.co.uk To: c.rakotondratsima@miroke.com, support@miroke.com Dear Mr. Christian, With ref to our Yesterday meeting below are Points for your review. Below comments are for final implementation. Attach are printout layouts 1 Invoice Print Out (Branch wise printing). TRN Tax Number should be according to Branch. So Give option to Define Tax Number in Sale&gt;Configuration&gt;Shop so when user select the relevant branch accordingly Tax TRN will appear on Tax invoice. 2: 2.1 When Invoice is creating, the amount for which invoice is creating the same amount another Double Entry Should pass. This Option May be given in Product &gt; Tab: Accounting &gt; Here MIRO may give option 2 times debit and 2 times credit with the same amount. (Just be careful here &gt; MIRO evaluate either this double entry (2 debits &amp; 2 credit should be in Product&gt; OR in Product&gt;Tab: Accounting &gt; Internal Category because current configuration we define entries posting accounts here in internal category). 2.2 while creating invoice VAT also calculate and amount go to VAT Payable Account (I this it is already there and standard) 3: 3.1 Customer Payment Print Out (Single Payment Collection) 3.2 Customer Payment Multi (More than One Collection i.e Multi PDC, PDC &amp; cash, Credit Card &amp; Cash). This document as a whole shuld have separate Serial Number to manage. Multi Collection Customer Payment Form Should be like same as Existing Customer Payment form with Brach Selection Option for Print Out. Document Top Fields -Customer -Mobile -Date -Payment Ref -Memo -Company -Branch (If we want to change the print out- same as in sale order) Tab: Collection In this Tab option of ""Add Customer Payment"" and when I click to this we can fill the line here not open new form directly on first place. End of each line the symbol or ARROW where we click and open full form (same as customer payment form) should open . Each line or form should take auto information from the top form fields like Customer name, mobile, Date, ???. Rest information user will fill accordingly whatever he is collecting. Now through Add Customer payment option even user can collect ""Cash, Credit Card &amp; PDC"" from a single customer against one invoice and again one main document. All lines of payment Total should be calculated at down. This is Just Multi Collection. After Save Posting of each customer payment line shall be same as existing single customer Payment. 4. Accounting &gt; Journal Entries &gt; Journal Voucher &gt; Create or open &gt; The voucher should have option to select branch for Printout (Print Out Sample is attached) 5: Supplier Payment Print Out (Branch Wise) 6: Refund print out same as INVOICE with Following changes Heading: Refund Invoice 7: Sales &gt; After Sales Services &gt; Claims (This claim process Refund department will use). Following Changes 7.1: Sales&gt;Configuration&gt;Claims &gt; Stages &gt; in Stage form Give option to define ""Responsible"" . The Same Value should appear &amp; change on Claim Form according to stage 7.2 : Sales &gt; After Sales Services &gt; Claims &gt; Claim Form &gt; New Fields or change in Fields Name Required (i)Drop Down Field Value Selection &gt; Field Name ""Refund Decision"" (ii) Hide Field Sale Team (iii) New Field ""Claim Product"" drop down selection of product just for ref here (iv) Date Field with Name ""Sign Up Date"" (v) ""Sale Person"" drop down sale person selection (vi) ""Claim Submit by"" drop down employee selection 7.3 Claim Form: &gt; Tab: Claims Description &gt; Claim reporter &gt; include here Mobile Field &amp; Move This Section to above in Form Below to ""Claim Date"" &amp; Rename this to ""Customer Detail"". 7.4: Claim Form: &gt; Tab: Claims Description &gt; Responsibilities Section &gt; Field ""Reference"" Rename to Sale Order &amp; Give another Reference Field with Name "" Processing Order"" and give option to select Processing order 7.5 Claim Form&gt; New Tab &gt; Accounts Detail with following Fields (All fields are short text (same as Field) (i) Contractual Value (ii) Received (iii) Pending Balance (iv) PDCs Bounced (v) PDCs Bounced Amount &gt; Note : This Tab is Access Rights defined to Accounts only Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit  --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: Business Center Date: Sun, 4 Feb 2018 13:46:01 +0400 From: fiaz@globalmigration.co.uk To: c.rakotondratsima@miroke.com CC: sam@globalmigration.co.uk, Shabana Khan , 'Shahrukh' , 'Sohail Saleem' Dear Mr. Christian With ref to Below Email, need your confirmation on below timelines Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit";;;;
"-------- Forwarded Message -------- Subject: Accounting Anomly Date: Sun, 4 Feb 2018 15:40:14 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, c.rakotondratsima@miroke.com Please Fiscal Year July to June Current is July 2017 to June 2018 Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: Anomaly HR Date: Tue, 6 Feb 2018 15:50:32 +0400 From: fiaz@globalmigration.co.uk To: c.rakotondratsima@miroke.com, support@miroke.com CC: 'Sam Abbas' HR &gt; Employees &gt; Open Employee Below error Odoo Client Error Error: QWeb2 - template['ListView.rows']: Runtime Error: Error: QWeb2 - template['ListView.row']: Runtime Error: Error: Unknown field state in domain [[""state"",""in"",[""done""]]] http://192.168.10.20:8069/web/js/web.assets_common/17fd670:1020 Dear Sam, Pls follow until resolved Thanks &amp; Regards! HM Fiaz Business Analyst --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"  HR > Employees > Open Employee  Below error   Odoo Client Error  Error: QWeb2 - template['ListView.rows']: Runtime Error: Error: QWeb2 - template['ListView.row']: Runtime Error: Error: Unknown field state in domain [[""state"",""in"",[""done""]]]  http://192.168.10.20:8069/web/js/web.assets_common/17fd670:1020 ";;;;
"-------- Forwarded Message -------- Subject: Processing-Anomaly Date: Thu, 8 Feb 2018 18:42:21 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, c.rakotondratsima@miroke.com CC: ayesha@globalmigration.co.uk Processing &gt; Processing Order &gt; Create &gt; When we are creating Processing Order We cannot Select Customer Name and other option. System here restricting us to create processing order for a customer. That facility should be there to Access rights Group &gt; Processing Manager When Processing order status goes to under process than all fields should be readable. No option to change except with revision. Pls deliver with priority. Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit Global Migration Services --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
RML printout header does not working after the palteform migration.;;;;
On the creation of the Processing Order, attachments are created automatically although the user did not created attachments nor populate attachments. Miro shall review if those are not anomalies, if they are normal creations of the System for any purpose, they shall not be accessible to the users.;;;;
-------- Forwarded Message -------- Subject: Re: Analytic account issue with SOs Date: Wed, 24 Jan 2018 09:30:00 +0000 From: Leena Kn To: Zaid Wattar , Christian Rakotondratsima Hello Christian , As discussed there are two incorrect entries, mentioned below ,under Assets category that needs to be removed . PO/2017/000008: Server HP For Wave MS Computer Equipments 19/12/2017 Carrefour 2,500.00 $ 2,500.00 USD Running Laptop Office Equipment 19/12/2017 Sharaf DG 2,000.00 2,000.00 AED AED Regards Leena --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ;;;;
"-------- Forwarded Message -------- Subject: Re: Analytic account issue with SOs Date: Sun, 11 Feb 2018 07:35:22 +0000 From: Leena Kn To: Christian Rakotondratsima , Zaid Wattar Please Remove them Regards Leena From: Christian Rakotondratsima Sent: Sunday, February 11, 2018 11:32:13 AM To: Leena Kn; Zaid Wattar Subject: Re: Analytic account issue with SOs Dear Leena, What about these payments: http://52.212.203.34/web#min=1&amp;limit=80&amp;view_type=list&amp;model=account.payment&amp;menu_id=102&amp;action=123 Best regards, Christian On 2018-02-11 11:18, Leena Kn wrote: Hello Christian , Please remove all the 16 Entries and any data related to that please Regards Leena  --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: Urgent-Processing Anomly Date: Sun, 11 Feb 2018 18:04:55 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, c.rakotondratsima@miroke.com Processing&gt;Configuration &gt; Requirement Center &gt; Open &gt; Tab : Work Center Operations &gt; Open Stage &gt; on Stage form we define ""Responsible"" officer Name so when processing order generate that officer is responsible for that. For some stages Define Responsible Person name is coming for some not http://192.168.10.20:8069/web#id=58291&amp;view_type=form&amp;model=mrp.production.workcenter.line&amp;menu_id=707&amp;action=934 this stage generated on 08-02-2018, in configuration name is there but not in processing order &gt; stage Same issue in Requirement &gt; the define ""Responsible"" name is not coming in Processing order &gt;Stages &gt; Requirements Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit Global Migration Services --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: Urgent -Another Processing Anomly Date: Sun, 11 Feb 2018 18:24:29 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, c.rakotondratsima@miroke.com Processing &gt; Processing &gt; Requirements &gt; You will see list of requirements there without Processing Order No (How Come)? Now go to filter apply group filter &gt; Stage all stages relevant to Stage should go under that stage of requirement center but its not happening Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: Urgent -Another Processing Anomly Date: Sun, 11 Feb 2018 18:32:00 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, c.rakotondratsima@miroke.com With ref to below what I find system is not generating requirements as per what define in configuration (Requirement center). The long time back created requirements now system is generating while creating processing order. Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
-------- Forwarded Message -------- Subject: FW: FW: Anomaly HR Date: Sun, 18 Feb 2018 13:26:12 +0400 From: Sam Abbas To: 'Christian Rakotondratsima' , support@miroke.com CC: fiaz@globalmigration.co.uk, ayesha@globalmigration.co.uk Dear Mr. Christian, I am getting this error while creating leave request. Please fix the error. Regards, Syeda From: Sam Abbas [mailto:sam@globalmigration.co.uk]  --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ;;;;
"-------- Forwarded Message -------- Subject: Sale - Anomly Urgent Date: Mon, 19 Feb 2018 13:59:57 +0400 From: fiaz@globalmigration.co.uk To: support@miroke.com, c.rakotondratsima@miroke.com, Tefy Sale &gt; Leads If One User (Access Rights Group &gt; Sale Person ""See own Leads"") creating a leads and Save on this lead another User (Access Rights Group &gt; Sale Person ""See own Leads"") is becoming a Follower. Real time: http://192.168.10.20:8069/web#page=0&amp;limit=30&amp;view_type=list&amp;model=crm.lead&amp;menu_id=136&amp;action=143 Open this lead. This lead created by ""Maymouna"" but Rubab is also follower . This particular user ""Rubab"" is in almost every lead creating under ""AAA Team"" Above case is specific. Now Generally: Why the system is making the other user as follower i.e Fiaz, administrator is follower in most of leads &amp; opportunities. How we can control this that on a particular document creation which user will become follower. Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"Nutri IP Address: 217.165.56.183, 2018-02-20 -------- Forwarded Message -------- Subject: Sales Comments Final Date: Sun, 18 Feb 2018 14:03:36 +0400 From: fiaz@globalmigration.co.uk To: 'Christian Rakotondratsima' , shahrukh@premiers.ae, sharukh@globalmigration.co.uk CC: 'Samoelinirina Andrianomenjanahary' , 'Andrisoa Rajaona' Dear Mr. Christian, With ref to below email, Pls find the attach final comments for Sales Module. Kindly review and submit time lines Thanks &amp; Regards! HM Fiaz Business Analyst Manager Internal Audit Global Migration Services From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com]  --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
"-------- Forwarded Message -------- Subject: RE: FW: FW: Anomaly HR Date: Tue, 20 Feb 2018 08:58:16 +0400 From: fiaz@globalmigration.co.uk To: 'Christian Rakotondratsima' , 'Sam Abbas' , support@miroke.com CC: ayesha@globalmigration.co.uk Dear Mr. Christian, in HR HR Officer &amp; HR Manager both should have access rights to create leave for other employees. Thanks &amp; Regards! From: Christian Rakotondratsima [mailto:c.rakotondratsima@miroke.com] --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus ";;;;
On sending the SMS on the production platform, the SMS is received by the server but is not sent to the reciepient. Error Message: http://sms.rmlconnect.net/bulksms/bulksms?username=GMSUAE&password=nrG2mfqN&message=TEST%20MESSAGE&type=0&dlr=1&source=Premiers&destination=971508374187 According to the provider support, some parameters are not given in the sent message. The configuration of the production platform is checked by the provider. Here below is a correct message format: http://sms.rmlconnect.net/bulksms/bulksms?username=GMSUAE&password=nrG2mfqN&message=TEST%20MESSAGE&type=0&dlr=1&source=Premiers&destination=971508374187;;;;
Fix contents of the field responsible for existing requirements/stages, from the requirement center;;;;
Collection & Dispatch Officer are not able to attach Documents in the Processing Order.;;;;
Leave Allocation and Leave Request Management anomalies;;;;
